user,sys,uss,Publish cloud,Particle count,Beam count,Program,Trial
1.43,1.39,6049792,False,500,30,amcl,0
1.34,1.55,6082560,False,500,30,amcl,1
1.48,1.43,6111232,False,500,30,amcl,2
1.32,1.52,6045696,False,500,30,amcl,3
1.46,1.44,6066176,False,500,30,amcl,4
1.6,1.32,6266880,False,1000,30,amcl,0
1.53,1.54,6193152,False,1000,30,amcl,1
1.56,1.52,6275072,False,1000,30,amcl,2
1.59,1.48,6217728,False,1000,30,amcl,3
1.49,1.53,6225920,False,1000,30,amcl,4
2.19,1.27,6864896,False,2000,30,amcl,0
2.29,1.21,6799360,False,2000,30,amcl,1
2.31,1.22,6930432,False,2000,30,amcl,2
2.22,1.42,6901760,False,2000,30,amcl,3
2.22,1.36,6815744,False,2000,30,amcl,4
2.84,1.23,7438336,False,3000,30,amcl,0
2.88,1.21,7479296,False,3000,30,amcl,1
2.96,1.12,7438336,False,3000,30,amcl,2
2.89,1.18,7438336,False,3000,30,amcl,3
2.76,1.31,7405568,False,3000,30,amcl,4
3.58,1.0,8073216,False,4000,30,amcl,0
3.49,1.09,8052736,False,4000,30,amcl,1
3.46,1.11,8085504,False,4000,30,amcl,2
3.47,1.1,8015872,False,4000,30,amcl,3
3.59,0.92,7991296,False,4000,30,amcl,4
4.08,1.01,8634368,False,5000,30,amcl,0
4.14,0.98,8708096,False,5000,30,amcl,1
4.11,1.02,8724480,False,5000,30,amcl,2
4.04,1.09,8671232,False,5000,30,amcl,3
4.11,1.06,8679424,False,5000,30,amcl,4
4.73,0.98,9338880,False,6000,30,amcl,0
4.81,0.88,9224192,False,6000,30,amcl,1
4.81,0.92,9281536,False,6000,30,amcl,2
4.8,0.95,9256960,False,6000,30,amcl,3
4.75,0.96,9199616,False,6000,30,amcl,4
5.93,1.3,9826304,False,7000,30,amcl,0
5.89,1.31,9936896,False,7000,30,amcl,1
5.94,1.36,9945088,False,7000,30,amcl,2
5.94,1.18,9850880,False,7000,30,amcl,3
5.87,1.39,9854976,False,7000,30,amcl,4
6.76,1.19,10407936,False,8000,30,amcl,0
6.69,1.21,10436608,False,8000,30,amcl,1
6.79,1.11,10448896,False,8000,30,amcl,2
6.63,1.27,10399744,False,8000,30,amcl,3
6.59,1.26,10375168,False,8000,30,amcl,4
7.53,1.15,11042816,False,9000,30,amcl,0
7.68,1.13,11145216,False,9000,30,amcl,1
7.53,1.2,11014144,False,9000,30,amcl,2
7.52,1.25,11149312,False,9000,30,amcl,3
7.45,1.29,11001856,False,9000,30,amcl,4
8.34,1.16,11669504,False,10000,30,amcl,0
8.36,1.13,11587584,False,10000,30,amcl,1
8.33,1.17,11624448,False,10000,30,amcl,2
8.31,1.17,11608064,False,10000,30,amcl,3
8.37,1.11,11157504,False,10000,30,amcl,4
