Trial,program,user,sys,uss,Publish cloud,Particle count,Beam count
0,node,0.99,1.27,4956160,False,500,30
1,node,1.15,1.19,4849664,False,500,30
2,node,0.98,1.32,4960256,False,500,30
3,node,1.13,1.16,4952064,False,500,30
4,node,1.21,1.10,4837376,False,500,30
0,node,1.13,1.28,4960256,False,1000,30
1,node,1.11,1.32,4976640,False,1000,30
2,node,1.28,1.17,4866048,False,1000,30
3,node,1.14,1.26,4894720,False,1000,30
4,node,1.17,1.32,4980736,False,1000,30
0,node,1.42,1.26,5042176,False,2000,30
1,node,1.30,1.40,4960256,False,2000,30
2,node,1.24,1.43,5062656,False,2000,30
3,node,1.30,1.42,5054464,False,2000,30
4,node,1.53,1.20,5058560,False,2000,30
0,node,1.76,1.34,5193728,False,3000,30
1,node,1.65,1.35,5103616,False,3000,30
2,node,1.66,1.41,5185536,False,3000,30
3,node,1.58,1.46,5148672,False,3000,30
4,node,1.74,1.39,5128192,False,3000,30
0,node,2.27,1.19,5275648,False,4000,30
1,node,2.13,1.18,5357568,False,4000,30
2,node,2.12,1.20,5312512,False,4000,30
3,node,2.18,1.12,5214208,False,4000,30
4,node,2.26,1.08,5238784,False,4000,30
0,node,2.55,1.07,5328896,False,5000,30
1,node,2.40,1.18,5349376,False,5000,30
2,node,2.48,1.07,5423104,False,5000,30
3,node,2.53,1.05,5468160,False,5000,30
4,node,2.44,1.13,5414912,False,5000,30
0,node,2.70,1.11,5578752,False,6000,30
1,node,2.69,1.00,5578752,False,6000,30
2,node,2.57,1.17,5480448,False,6000,30
3,node,2.65,1.17,5480448,False,6000,30
4,node,2.75,1.04,5472256,False,6000,30
0,node,3.11,1.01,5578752,False,7000,30
1,node,2.97,1.14,5550080,False,7000,30
2,node,2.94,1.10,5619712,False,7000,30
3,node,3.08,1.03,5685248,False,7000,30
4,node,2.98,1.12,5591040,False,7000,30
0,node,3.25,1.11,5775360,False,8000,30
1,node,3.13,1.18,5685248,False,8000,30
2,node,3.27,1.02,5820416,False,8000,30
3,node,3.30,0.99,5746688,False,8000,30
4,node,3.41,0.87,5783552,False,8000,30
0,node,3.70,0.89,5816320,False,9000,30
1,node,3.56,0.95,5902336,False,9000,30
2,node,3.69,0.87,5914624,False,9000,30
3,node,3.56,0.99,5824512,False,9000,30
4,node,3.53,1.05,5914624,False,9000,30
0,node,3.99,0.83,5992448,False,10000,30
1,node,4.02,0.84,5955584,False,10000,30
2,node,4.04,0.96,6004736,False,10000,30
3,node,4.02,0.75,5951488,False,10000,30
4,node,4.05,0.86,6017024,False,10000,30
